id	input	joke
en_00542	Tell me a joke about a minimalist who has almost no possessions in their apartment	My friend is such a minimalist, he uses an empty, framed space on the wall as his 'concept art' television
en_00543	Give me a funny joke about accidentally sending a work email with a major typo	I sent an email to the whole company saying I was 'leaving for an urgent pie' instead of an 'urgent trip
en_00544	What's a joke about someone who is completely obsessed with tracking their personal finances	He tracks his spending so closely, he created a spreadsheet just to account for the emotional cost of impulse buys
en_00545	I need a joke about trying to follow a complicated yoga instructor's directions	The yoga instructor told me to find my inner balance, but my inner voice just told me to go home and eat snacks
en_00546	Make a joke about someone who is always over-analyzing their favorite TV show plots	He analyzes TV shows so deeply, he created a 400-page thesis on the socio-economic implications of the sitcom couch
en_00547	Tell me a joke about a terrible experience with a drive-thru speaker system	The drive-thru speaker was so muffled, I accidentally ordered a single sock and a large order of confused disappointment
en_00548	I need a funny joke about a paranoid bird-watcher who thinks the birds are plotting against him	He's so paranoid, he bought a tiny, bird-sized security camera to monitor the robins on his feeder
en_00549	What's a joke about a very slow computer technician who takes forever to fix anything	The computer technician works so slowly, I saw a client's beard grow from stubble to Gandalf-length while waiting
en_00550	Give me a joke about someone who brags about being immune to hangovers	He brags about never getting hangovers, but he's usually just battling his own delayed consequences and losing
en_00551	I need a joke about a frustrating attempt to get a refund for a bad product	I tried to get a refund, but the company's automated response system kept offering me a coupon for a free bag of self-doubt
en_00552	Make a joke about terrible food that looks much better in the advertisement picture	The burger I ordered looked so different from the picture, I suspect the advertisement was actually taken in a different dimension
en_00553	Tell me a funny joke about an overly complicated coffee shop order with too many specifics	I ordered a coffee so complicated, the barista needed an astrological chart and a quantum physics degree to make it correctly
en_00554	I need a joke about a very messy shared refrigerator at a workplace	The office fridge is so messy, I found a container of food that had legally filed for emancipation from its original owner
en_00555	What's a joke about someone who is overly dramatic about their allergies	She's so dramatic about her allergies, she insists on describing pollen as microscopic, weaponized fairy dust designed to oppress her
en_00556	Make a joke about a very boring retirement party for a long-time employee	The retirement party was so dull, the cake featured an edible printout of a blank excel spreadsheet
en_00557	Tell me a joke about a clock	It went out, but it keeps wanting to know the time
en_00558	Joke about an invisible man	He can't get a job because they can't see him fitting in
en_00559	Give me a joke about bread	I tried to bake, but I couldn't make enough dough
en_00560	What's a joke about a pencil	I decided to write a story, but it was pointless
en_00561	I need a joke about a car	I'm selling my old car; it's just gathering dust
en_00562	Tell me a joke about an egg	It was in a bad mood because it was having a rotten day
en_00563	Joke about a lazy dog	It's a couch potato with no motivation
en_00564	Give me a joke about the wind	I tried to write a pun about the breeze, but it just blows
en_00565	What's a joke about a fish	You can tune a guitar, but you can't tuna fish
